18.1743 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1920]. Using actual size
45.0249 	EXP 	fixation: autoDraw = False
45.0249 	EXP 	text: autoDraw = False
45.0249 	EXP 	text: height = 0.05
45.0249 	EXP 	text: height = 0.05
45.0249 	EXP 	text: height = 0.05
45.0249 	EXP 	text: text = 'GBP46 todayor GBP 89after97 days'
45.0249 	EXP 	fixation: autoDraw = True
46.0248 	EXP 	fixation: autoDraw = False
46.0248 	EXP 	text: autoDraw = True
46.0767 	EXP 	New trial (rep=0, index=18): {'reward_today': 78, 'future_reward': 88, 'delay': 92}
46.0855 	DATA 	Keypress: l
46.0914 	EXP 	fixation: autoDraw = False
46.0914 	EXP 	text: autoDraw = False
46.0914 	EXP 	text: height = 0.05
46.0914 	EXP 	text: height = 0.05
46.0914 	EXP 	text: height = 0.05
46.0914 	EXP 	text: text = 'GBP78 todayor GBP 88after92 days'
46.0914 	EXP 	fixation: autoDraw = True
47.0098 	DATA 	Keypress: l
47.0915 	EXP 	fixation: autoDraw = False
47.0915 	EXP 	text: autoDraw = True
47.5929 	EXP 	New trial (rep=0, index=19): {'reward_today': 47, 'future_reward': 83, 'delay': 107}
47.5986 	DATA 	Keypress: l
47.6082 	EXP 	fixation: autoDraw = False
47.6082 	EXP 	text: autoDraw = False
47.6082 	EXP 	text: height = 0.05
47.6082 	EXP 	text: height = 0.05
47.6082 	EXP 	text: height = 0.05
47.6082 	EXP 	text: text = 'GBP47 todayor GBP 83after107 days'
47.6082 	EXP 	fixation: autoDraw = True
48.6083 	EXP 	fixation: autoDraw = False
48.6083 	EXP 	text: autoDraw = True
48.8110 	EXP 	New trial (rep=0, index=20): {'reward_today': 53, 'future_reward': 114, 'delay': 58}
48.8200 	DATA 	Keypress: t
48.8247 	EXP 	fixation: autoDraw = False
48.8247 	EXP 	text: autoDraw = False
48.8247 	EXP 	text: height = 0.05
48.8247 	EXP 	text: height = 0.05
48.8247 	EXP 	text: height = 0.05
48.8247 	EXP 	text: text = 'GBP53 todayor GBP 114after58 days'
48.8247 	EXP 	fixation: autoDraw = True
49.8249 	EXP 	fixation: autoDraw = False
49.8249 	EXP 	text: autoDraw = True
50.0267 	EXP 	New trial (rep=0, index=21): {'reward_today': 40, 'future_reward': 93, 'delay': 60}
50.0356 	DATA 	Keypress: t
50.0431 	EXP 	fixation: autoDraw = False
50.0431 	EXP 	text: autoDraw = False
50.0431 	EXP 	text: height = 0.05
50.0431 	EXP 	text: height = 0.05
50.0431 	EXP 	text: height = 0.05
50.0431 	EXP 	text: text = 'GBP40 todayor GBP 93after60 days'
50.0431 	EXP 	fixation: autoDraw = True
51.0417 	EXP 	text: autoDraw = True
51.0583 	EXP 	fixation: autoDraw = False
51.1262 	EXP 	New trial (rep=0, index=22): {'reward_today': 64, 'future_reward': 102, 'delay': 109}
51.1342 	DATA 	Keypress: t
51.1414 	EXP 	fixation: autoDraw = False
51.1414 	EXP 	text: autoDraw = False
51.1414 	EXP 	text: height = 0.05
51.1414 	EXP 	text: height = 0.05
51.1414 	EXP 	text: height = 0.05
51.1414 	EXP 	text: text = 'GBP64 todayor GBP 102after109 days'
51.1414 	EXP 	fixation: autoDraw = True
52.0606 	DATA 	Keypress: l
52.1249 	EXP 	text: autoDraw = True
52.1416 	EXP 	fixation: autoDraw = False
53.1613 	EXP 	New trial (rep=0, index=23): {'reward_today': 45, 'future_reward': 91, 'delay': 119}
53.1698 	DATA 	Keypress: l
53.1749 	EXP 	fixation: autoDraw = False
53.1749 	EXP 	text: autoDraw = False
53.1749 	EXP 	text: height = 0.05
53.1749 	EXP 	text: height = 0.05
53.1749 	EXP 	text: height = 0.05
53.1749 	EXP 	text: text = 'GBP45 todayor GBP 91after119 days'
53.1749 	EXP 	fixation: autoDraw = True
53.9938 	DATA 	Keypress: l
54.1748 	EXP 	fixation: autoDraw = False
54.1748 	EXP 	text: autoDraw = True
55.4443 	DATA 	Keypress: l
55.4596 	EXP 	New trial (rep=0, index=24): {'reward_today': 13, 'future_reward': 104, 'delay': 52}
55.4748 	EXP 	fixation: autoDraw = False
55.4748 	EXP 	text: autoDraw = False
55.4748 	EXP 	text: height = 0.05
55.4748 	EXP 	text: height = 0.05
55.4748 	EXP 	text: height = 0.05
55.4748 	EXP 	text: text = 'GBP13 todayor GBP 104after52 days'
55.4748 	EXP 	fixation: autoDraw = True
56.2774 	DATA 	Keypress: l
56.4747 	EXP 	fixation: autoDraw = False
56.4747 	EXP 	text: autoDraw = True
57.1430 	EXP 	New trial (rep=0, index=25): {'reward_today': 42, 'future_reward': 93, 'delay': 40}
57.1501 	DATA 	Keypress: l
57.1581 	EXP 	fixation: autoDraw = False
57.1581 	EXP 	text: autoDraw = False
57.1581 	EXP 	text: height = 0.05
57.1581 	EXP 	text: height = 0.05
57.1581 	EXP 	text: height = 0.05
57.1581 	EXP 	text: text = 'GBP42 todayor GBP 93after40 days'
57.1581 	EXP 	fixation: autoDraw = True
58.1581 	EXP 	fixation: autoDraw = False
58.1581 	EXP 	text: autoDraw = True
58.6599 	EXP 	New trial (rep=0, index=26): {'reward_today': 79, 'future_reward': 100, 'delay': 67}
58.6677 	DATA 	Keypress: l
58.6748 	EXP 	fixation: autoDraw = False
58.6748 	EXP 	text: autoDraw = False
58.6748 	EXP 	text: height = 0.05
58.6748 	EXP 	text: height = 0.05
58.6748 	EXP 	text: height = 0.05
58.6748 	EXP 	text: text = 'GBP79 todayor GBP 100after67 days'
58.6748 	EXP 	fixation: autoDraw = True
59.6747 	EXP 	fixation: autoDraw = False
59.6747 	EXP 	text: autoDraw = True
59.8599 	EXP 	New trial (rep=0, index=27): {'reward_today': 69, 'future_reward': 123, 'delay': 53}
59.8705 	DATA 	Keypress: t
59.8748 	EXP 	fixation: autoDraw = False
59.8748 	EXP 	text: autoDraw = False
59.8748 	EXP 	text: height = 0.05
59.8748 	EXP 	text: height = 0.05
59.8748 	EXP 	text: height = 0.05
59.8748 	EXP 	text: text = 'GBP69 todayor GBP 123after53 days'
59.8748 	EXP 	fixation: autoDraw = True
60.8749 	EXP 	fixation: autoDraw = False
60.8749 	EXP 	text: autoDraw = True
60.9263 	EXP 	New trial (rep=0, index=28): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
60.9333 	DATA 	Keypress: t
60.9417 	EXP 	fixation: autoDraw = False
60.9417 	EXP 	text: autoDraw = False
60.9417 	EXP 	text: height = 0.05
60.9417 	EXP 	text: height = 0.05
60.9417 	EXP 	text: height = 0.05
60.9417 	EXP 	text: text = 'GBP78 todayor GBP 80after162 days'
60.9417 	EXP 	fixation: autoDraw = True
61.9416 	EXP 	fixation: autoDraw = False
61.9416 	EXP 	text: autoDraw = True
62.1265 	EXP 	New trial (rep=0, index=29): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
62.1332 	DATA 	Keypress: t
62.1417 	EXP 	fixation: autoDraw = False
62.1417 	EXP 	text: autoDraw = False
62.1417 	EXP 	text: height = 0.05
62.1417 	EXP 	text: height = 0.05
